,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle,Layer At Peak Value_1-28,Layer At Peak Value_29-40,Energy At Peak Value_1-28,Energy At Peak Value_28_40
420,1.03303,2.18484,0.868594,1.10421,0.943201,2.0806,0.965993,1.68596,1.09582,11.315,0.602387,0.9088,1.33696,1.12134,0.746453,1.3415,2.41415,1.10084,2.21735,1.3068,1.15881,1.01688,1.66395,0.781436,2.93777,4.22807,6.19606,4.09387,3.22971,4.89015,4.6918,8.32535,12.1768,9.38771,7.9421,8.26453,3.23325,2.1567,1.19752,3.18632,200,muon,10,5,11.315,12.1768
421,2.47475,2.22467,0.963809,1.03975,1.09239,1.76299,0.994898,1.33103,3.22526,0.773813,1.31938,1.66648,1.23293,2.48702,2.24877,0.846533,10.1168,4.49738,14.1342,1.26688,2.37405,1.15814,1.11934,1.57999,2.6605,1.92906,4.31874,2.9761,2.28206,5.70089,4.93246,3.24,8.56521,6.98731,13.9864,3.21003,7.13861,3.43961,0.929416,0.879931,200,muon,19,7,14.1342,13.9864
422,0.0,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21456,0.944689,1.80858,2.0637,1.14804,4.89499,6.9237,5.75252,8.29223,6.00993,7.233,2.77674,4.69247,1.04369,0.0,0.0,200,muon,28,5,2.0637,8.29223
423,0.92974,2.06155,1.13963,1.76745,1.19756,1.32229,0.0,1.01487,0.859393,2.37152,1.79032,1.26834,0.965755,4.46828,0.891008,1.00737,0.850935,1.54955,1.13982,1.44605,2.09374,2.0504,1.27688,1.03036,1.41041,2.97972,6.75856,2.00484,2.82697,7.85226,2.20538,5.72686,12.7967,8.98975,7.1624,14.4348,11.8081,1.1194,1.19572,0.0,200,muon,27,8,6.75856,14.4348
424,1.83336,0.961158,1.60815,0.670215,1.41626,0.836978,2.13785,1.11459,5.74145,0.699937,1.74253,0.762986,1.06948,2.73067,0.957891,1.12757,0.834207,0.713786,0.910082,1.01616,1.91062,1.40635,2.02117,1.75675,1.11126,2.50882,3.71839,3.55344,4.04799,2.14469,1.89607,15.4185,13.8605,4.6274,11.3115,11.1629,7.36078,1.92854,5.92541,1.06242,200,muon,9,4,5.74145,15.4185
425,0.927703,0.974068,1.00113,1.12383,1.35501,0.781384,1.20777,2.8212,1.16492,2.41702,0.960706,1.74521,0.980141,1.10944,1.40997,1.40201,1.15141,0.851064,13.5803,1.08006,1.9044,0.978839,1.58551,0.922231,2.72882,3.04614,4.97745,5.11174,2.35188,5.95498,3.57711,5.41149,4.21894,5.73418,12.5113,3.76758,4.71727,4.67306,3.73948,0.923748,200,muon,19,7,13.5803,12.5113
426,1.26503,1.99148,1.26625,1.54596,1.14806,1.00575,1.0646,1.41779,0.884756,1.55701,8.84314,1.33022,3.04189,2.23122,3.03047,4.0821,1.33595,0.959939,0.626326,1.18644,1.00166,1.8559,1.06432,0.85927,2.02418,1.84603,4.35532,3.01492,2.03882,3.10146,6.68853,4.47465,8.93808,4.78989,3.4382,6.16911,14.5469,1.87952,0.0,1.24424,200,muon,11,9,8.84314,14.5469
427,0.75822,1.36322,1.6115,2.46279,0.867045,1.55476,2.50079,1.49006,0.883337,0.986629,0.945022,3.79174,7.82069,0.872362,0.975714,1.63876,0.789301,3.54308,13.003,1.12216,1.18257,2.42434,0.946492,0.813218,0.666591,1.86711,1.58138,2.22112,4.85362,8.44269,2.08184,1.29928,12.1626,3.75696,13.8028,8.60006,7.8127,0.707582,1.02139,1.06846,200,muon,19,7,13.003,13.8028
428,0.0,1.01778,0.0,0.0,0.460976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07414,0.0,0.0,0.0,0.0,0.0,3.54843,1.02501,5.0003,1.32508,3.96983,5.51797,12.0142,6.26665,5.26149,10.4442,3.40894,1.80924,3.70899,1.16112,200,muon,27,5,3.54843,12.0142
429,0.900972,1.4243,3.27781,2.20535,0.617541,0.0,0.0,2.61368,2.11233,3.50451,2.09388,2.11394,0.786021,1.13008,1.68165,3.15097,3.58511,1.12367,14.6541,2.28189,1.73957,0.912711,1.19469,0.997543,1.87831,4.87918,3.93934,4.23347,3.94875,5.10055,4.1074,3.90547,10.0763,8.96705,13.3858,5.50516,7.34338,3.34054,2.93339,0.915345,200,muon,19,7,14.6541,13.3858
