,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle
381,17.6045,17.3062,1.74327,3.90799,4.26552,5.55781,9.09338,5.18703,2.29622,2.78231,11.427,2.9846,5.83663,3.53927,3.04621,6.42362,2.63606,1.97362,17.1394,3.03092,3.27239,2.43748,2.83391,15.3067,15.9331,12.4922,17.9719,17.4797,14.8659,11.6189,14.4615,7.7375,6.86157,56.0611,15.6043,11.2887,9.01482,1.96519,8.52678,12.3554,L,pion
382,1.02018,1.52744,1.16672,13.5823,47.1475,96.0497,133.001,97.2308,85.916,66.8429,148.757,84.4462,52.977,21.7835,38.0727,9.60328,11.5304,17.0786,25.6125,6.32485,12.0315,2.20446,5.76575,2.33445,1.03859,1.952,3.85537,5.65051,41.4066,7.43163,1.54626,18.2626,14.6744,25.5702,8.96089,9.47469,2.90159,0.0,0.0,0.0,L,pion
383,1.28388,1.89753,1.35438,2.2207,1.99104,1.10935,0.703425,1.16523,1.02756,0.953048,0.963263,8.87163,23.6779,18.9693,30.2832,30.0042,31.1393,22.0092,33.3473,24.1432,44.3409,14.4915,46.0131,22.9204,25.0124,24.591,21.1096,7.48415,153.242,34.6854,22.7903,5.79732,23.7903,12.944,6.17469,5.92642,3.90605,0.926154,0.0,0.990164,L,pion
384,1.60263,1.12733,1.66509,0.763161,1.63311,1.24154,2.68428,12.9085,6.08223,15.231,38.6017,38.1572,130.939,72.6047,26.8304,26.9315,10.6482,20.4126,53.6409,23.9818,37.3064,26.3843,19.7621,21.8553,25.5256,18.6683,18.3393,12.1352,40.5211,6.52715,7.93672,5.26569,9.20713,15.763,20.5945,4.95722,4.27177,1.12077,0.0,0.0,L,pion
385,0.853269,6.91249,0.969999,0.923604,1.03702,0.903876,5.75836,2.53158,1.83522,0.850627,1.02099,1.93817,2.17104,2.1112,0.693168,1.42928,1.16366,1.09692,14.0997,1.05154,2.13252,34.0275,11.6792,32.0678,9.33865,13.4459,8.34185,14.9791,106.082,80.049,56.328,10.8122,21.5754,10.2956,10.1006,8.80602,6.7312,1.25859,0.0,0.0,L,pion
386,4.80024,1.79656,2.03287,1.32116,15.5238,55.7435,73.2367,37.5228,34.5023,56.4153,23.3782,105.173,51.2365,12.8659,21.6301,22.4163,19.3468,28.6564,27.2129,4.3669,36.6169,11.3437,7.93923,1.72355,7.80417,3.35246,2.84378,5.43579,7.76822,6.82766,2.95599,5.32725,25.0808,8.62135,8.44654,4.64787,6.76331,1.05095,0.0,0.0,L,pion
387,1.32566,1.11665,1.81841,1.1198,1.21246,0.967034,0.796024,4.21503,5.47749,1.19677,0.94026,0.95268,2.44234,1.30192,1.01216,1.03475,1.66169,0.972799,14.3388,0.765042,1.40875,1.21907,5.57675,1.06718,3.96702,3.08128,4.84874,2.01449,1.10282,7.37878,41.7717,98.4978,76.1951,13.9481,16.3036,7.18272,8.46321,1.07775,0.0,0.519877,L,pion
388,1.45524,2.55806,0.950135,31.2363,46.5251,85.4726,79.8434,70.2564,140.265,69.8445,104.256,24.9683,35.1604,22.8559,8.74262,0.900769,4.3646,3.1858,0.0,1.37784,0.0,5.69437,2.25727,1.11328,2.24186,1.49092,3.92739,8.87048,138.946,32.4601,14.9063,3.36912,9.70795,4.39611,6.25239,8.76617,4.3725,0.0,0.0,1.41799,L,pion
389,1.27,0.961904,1.21682,1.97862,0.981424,1.31782,9.13744,1.14922,0.695041,1.16461,1.322,1.07228,1.35599,2.30544,0.769584,1.07493,0.958817,1.5448,1.33271,0.750476,1.33269,1.44799,1.38045,0.954505,1.65059,2.58201,2.6302,2.2824,1.50417,4.10524,2.49049,1.95301,4.47266,10.5123,11.9368,14.023,60.0986,16.3808,5.78086,2.02053,L,pion
390,1.10616,2.52384,0.925169,1.71225,1.07107,1.3887,0.747794,2.81281,10.2995,6.92883,10.9971,2.05472,3.09931,0.948766,1.22534,1.24546,5.33989,0.835118,3.80847,1.95441,1.9421,2.34022,1.25854,3.95799,1.6225,1.45531,2.32327,4.37281,3.48435,7.26596,0.95722,2.97172,15.7779,4.00591,18.7907,15.9609,129.588,27.7852,8.32846,6.50856,L,pion
391,1.41235,1.42848,6.21935,4.1711,1.00343,1.11647,0.937155,1.13416,1.05988,1.94017,0.988379,2.16948,1.19838,1.89194,14.1672,0.0,1.87839,2.93782,13.2796,0.992725,1.27058,0.711876,0.870566,0.904539,2.63797,4.9781,3.27655,3.49153,3.56442,2.37747,35.5839,44.0081,36.0239,34.378,19.4478,13.7939,11.8254,1.62388,0.0,0.0,L,pion
392,1.26349,1.99349,1.45625,1.01247,0.734719,4.74986,2.11964,1.04391,1.02388,0.820958,0.91826,1.29257,0.924884,1.89561,0.976495,3.60403,0.766526,1.52471,14.006,2.82384,2.83537,1.14069,1.20247,0.931761,2.34369,1.09253,4.21895,2.73528,4.22817,3.83458,2.93384,5.47421,12.6188,7.33069,11.6705,48.0731,78.1379,19.7545,4.11489,28.8705,L,pion
393,9.26671,31.2093,26.7505,49.7332,118.382,32.9479,44.3284,29.0941,41.0438,12.8538,20.3664,28.746,37.6838,57.6416,98.6926,62.709,12.1552,18.9537,15.7353,1.08269,4.61381,0.773278,0.0,0.499227,12.6965,16.2648,28.1573,4.32502,8.17681,2.23334,4.66254,5.15539,7.34737,5.00928,7.3969,4.3885,10.3995,1.01712,0.0,0.496659,L,pion
394,15.2297,37.8632,32.1127,21.3714,47.2076,49.0124,19.2081,13.9278,13.5037,24.3684,11.2773,10.3989,22.3711,7.28607,27.3716,1.00922,2.93657,2.20573,19.5677,3.2294,1.15641,2.18683,1.97942,3.80986,2.43731,24.9858,11.8928,9.0833,11.1078,7.13726,12.6487,25.5427,9.65915,8.72823,18.5388,12.1407,11.0791,0.528359,0.0,0.516716,L,pion
395,2.61389,1.38071,1.98295,1.42561,1.35926,0.924484,0.0,1.8463,1.34371,1.66334,2.60886,1.14117,1.07728,0.92815,1.83575,0.868664,1.02853,1.49292,14.9497,0.832686,1.23596,1.22563,0.946671,2.51059,1.29333,1.79366,1.68302,1.86076,3.53616,7.02136,3.43344,5.38445,4.50577,10.2859,10.0412,6.99572,8.08073,1.04893,1.06336,4.00233,L,pion
396,17.3906,2.12595,1.79228,7.22561,1.39931,0.885034,10.715,7.40891,76.0996,52.2804,52.0839,56.7386,71.9773,78.2091,58.9301,53.4076,62.6396,56.0754,84.3527,101.138,62.3846,28.9261,26.1936,27.2097,7.68957,8.5242,10.9265,3.10552,5.45848,3.64306,0.804908,3.53029,16.1265,10.3212,9.49726,4.36944,10.1228,1.14034,0.0,0.0,L,pion
397,4.06135,3.12493,65.1933,62.1983,108.39,101.646,100.399,38.221,61.6498,43.4882,14.837,22.802,37.3364,22.9223,28.1447,18.7572,11.5846,6.42421,17.181,6.00899,4.17266,6.75338,5.79479,4.30309,4.22243,6.11767,3.85167,1.80198,4.37918,1.61353,5.51003,6.4226,7.21016,15.546,11.5397,6.51196,7.13272,0.0,0.0,1.25409,L,pion
